"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"1",251,"gib27","Alameda Gardens Access Road","no2",2007-01-30,NA,"urban_background",36.131153,-5.350701,"md_measurement","gibraltar"
"2",250,"gib26","Alameda Gardens Theatre","no2",2007-01-30,NA,"urban_background",36.130783,-5.351246,"md_measurement","gibraltar"
"3",273,"gib21","Anchorage Rosia Road","no2",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"4",245,"gib21","Anchorage Rosia Road","no2",2007-01-30,NA,"kerbside",36.123528,-5.353585,"md_measurement","gibraltar"
"5",27,"gib2","Bleak House","no2",2005-02-02,NA,"urban_background",36.112824,-5.350188,"md_measurement","gibraltar"
"6",6,"gib2","Bleak House","no2",2005-02-02,NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"7",7,"gib2","Bleak House","nox",2005-02-02,NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"8",249,"gib25","Churchill House","no2",2007-01-30,NA,"roadside",36.127987,-5.351273,"md_measurement","gibraltar"
"9",144,"gib4","Devils Tower Road","no2",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"10",255,"gib31","Dockyard Road","no2",2007-01-30,NA,"kerbside",36.129757,-5.353104,"md_measurement","gibraltar"
"11",253,"gib29","Gardiners Road","no2",2007-01-30,NA,"kerbside",36.133495,-5.350771,"md_measurement","gibraltar"
"12",168,"gib13","George Don House","no2",2005-02-02,NA,"kerbside",36.147778,-5.351086,"md_measurement","gibraltar"
"13",197,"giblank","Gibraltar Blank Tubes","no2",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"14",150,"gib5","Glacis Road","no2",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"15",254,"gib30","Governors Meadow House","no2",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"16",162,"gib7","Harbour Views","no2",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"17",138,"gib3","Jumpers","no2",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"18",247,"gib23","Lathbury Industrial Park","no2",2007-01-30,NA,"urban_background",36.118744,-5.344721,"md_measurement","gibraltar"
"19",164,"gib9","Lime Kiln Road","no2",2005-02-02,NA,"kerbside",36.13931,-5.350889,"md_measurement","gibraltar"
"20",166,"gib11","Main Street","no2",2005-02-02,NA,"suburban",36.14399,-5.35296,"md_measurement","gibraltar"
"21",169,"gib14","Prince Edwards Road","no2",2005-02-02,NA,"kerbside",36.137404,-5.352179,"md_measurement","gibraltar"
"22",156,"gib6","Queensway","no2",2005-02-02,NA,"roadside",36.141443,-5.355986,"md_measurement","gibraltar"
"23",163,"gib8","Red Sands Road","no2",2005-02-02,NA,"kerbside",36.1302,-5.35197,"md_measurement","gibraltar"
"24",252,"gib28","Rock Hotel","no2",2007-01-30,NA,"kerbside",36.131527,-5.350157,"md_measurement","gibraltar"
"25",246,"gib22","Rosia Promenade","no2",2007-01-30,NA,"roadside",36.13201,-5.352949,"md_measurement","gibraltar"
"26",26,"gib1","Rosia Road","no2",2005-02-02,NA,"roadside",36.133317,-5.353175,"md_measurement","gibraltar"
"27",2,"gib1","Rosia Road","no2",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"28",3,"gib1","Rosia Road","nox",2005-02-02,NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"29",165,"gib10","South Barracks Road","no2",2005-02-02,NA,"kerbside",36.12634,-5.35071,"md_measurement","gibraltar"
"30",244,"gib20","Sundial Roundabout","no2",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"31",272,"gib20","Sundial Roundabout","no2",2007-01-30,NA,"kerbside",36.148754,-5.34956,"md_measurement","gibraltar"
"32",248,"gib24","Upper Withams Entrance","no2",2007-01-30,NA,"kerbside",36.127277,-5.350808,"md_measurement","gibraltar"
"33",167,"gib12","Water Gardens","no2",2005-02-02,NA,"roadside",36.14653,-5.35507,"md_measurement","gibraltar"
"34",305,"gi4","Withams Road","nox",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"35",304,"gi4","Withams Road","no2",2008-05-15,NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"36",256,"gib32","Woodford Cottage","no2",2007-01-30,NA,"kerbside",36.125225,-5.349747,"md_measurement","gibraltar"
